FECHA,HORA,SENSOR,TEMPERATURA,UNIDAD,HUMEDAD_%,ESTADO_BATERIA,DEVICE_ID,OTROS_DATOS
19/02/2026,23:00:07,Interior,26.8,C,64,Media,eb849849b3155b7110det4,
19/02/2026,23:15:06,Balcón,25.2,C,65,Media,eb007de949df61414afvyg,
19/02/2026,23:15:06,Interior,26.8,C,64,Media,eb849849b3155b7110det4,
19/02/2026,23:30:07,Balcón,24.7,C,67,Media,eb007de949df61414afvyg,
19/02/2026,23:30:07,Interior,26.8,C,64,Media,eb849849b3155b7110det4,
19/02/2026,23:45:07,Balcón,24.7,C,67,Media,eb007de949df61414afvyg,
19/02/2026,23:45:07,Interior,27,C,62,Alta,eb849849b3155b7110det4,
20/02/2026,24:00:11,Balcón,24.2,C,67,Media,eb007de949df61414afvyg,
20/02/2026,24:00:11,Interior,27,C,62,Alta,eb849849b3155b7110det4,
20/02/2026,24:15:07,Balcón,24.2,C,67,Media,eb007de949df61414afvyg,
20/02/2026,24:15:07,Interior,27,C,62,Alta,eb849849b3155b7110det4,
20/02/2026,24:30:07,Balcón,23.7,C,69,Media,eb007de949df61414afvyg,
20/02/2026,24:30:07,Interior,27.2,C,63,Alta,eb849849b3155b7110det4,
20/02/2026,24:45:06,Balcón,23.7,C,69,Media,eb007de949df61414afvyg,
20/02/2026,24:45:06,Interior,27.2,C,63,Alta,eb849849b3155b7110det4,
20/02/2026,01:00:07,Balcón,23.2,C,68,Media,eb007de949df61414afvyg,
20/02/2026,01:00:07,Interior,27.2,C,63,Alta,eb849849b3155b7110det4,
20/02/2026,01:15:07,Balcón,23.2,C,68,Media,eb007de949df61414afvyg,
20/02/2026,01:15:07,Interior,27.2,C,63,Alta,eb849849b3155b7110det4,
20/02/2026,01:30:06,Balcón,23.2,C,68,Media,eb007de949df61414afvyg,
20/02/2026,01:30:06,Interior,27.1,C,63,Alta,eb849849b3155b7110det4,
20/02/2026,01:45:06,Balcón,22.7,C,68,Media,eb007de949df61414afvyg,
20/02/2026,01:45:06,Interior,27.1,C,63,Alta,eb849849b3155b7110det4,
20/02/2026,02:00:07,Balcón,22.7,C,68,Media,eb007de949df61414afvyg,
20/02/2026,02:00:07,Interior,27.1,C,63,Alta,eb849849b3155b7110det4,
20/02/2026,02:15:07,Balcón,22.7,C,68,Media,eb007de949df61414afvyg,
20/02/2026,02:15:07,Interior,27.1,C,63,Alta,eb849849b3155b7110det4,
20/02/2026,02:30:06,Balcón,22.2,C,69,Media,eb007de949df61414afvyg,
20/02/2026,02:30:06,Interior,27,C,62,Alta,eb849849b3155b7110det4,
20/02/2026,02:45:06,Balcón,22.2,C,69,Media,eb007de949df61414afvyg,
20/02/2026,02:45:06,Interior,27,C,62,Alta,eb849849b3155b7110det4,
20/02/2026,03:00:06,Balcón,22.2,C,69,Media,eb007de949df61414afvyg,
20/02/2026,03:00:06,Interior,27,C,62,Alta,eb849849b3155b7110det4,
20/02/2026,03:15:07,Balcón,22.2,C,69,Media,eb007de949df61414afvyg,
20/02/2026,03:15:07,Interior,26.9,C,62,Alta,eb849849b3155b7110det4,
20/02/2026,03:30:06,Balcón,22,C,69,Media,eb007de949df61414afvyg,
20/02/2026,03:30:06,Interior,26.9,C,62,Alta,eb849849b3155b7110det4,
20/02/2026,03:45:06,Balcón,21.5,C,69,Media,eb007de949df61414afvyg,
20/02/2026,03:45:06,Interior,26.9,C,62,Alta,eb849849b3155b7110det4,
20/02/2026,04:00:06,Balcón,21.5,C,69,Media,eb007de949df61414afvyg,
20/02/2026,04:00:06,Interior,26.9,C,62,Alta,eb849849b3155b7110det4,
20/02/2026,04:15:07,Balcón,21.5,C,69,Media,eb007de949df61414afvyg,
20/02/2026,04:15:07,Interior,26.7,C,61,Alta,eb849849b3155b7110det4,
20/02/2026,04:30:07,Balcón,21.5,C,69,Media,eb007de949df61414afvyg,
20/02/2026,04:30:07,Interior,26.7,C,61,Alta,eb849849b3155b7110det4,
20/02/2026,04:45:06,Balcón,21.2,C,70,Media,eb007de949df61414afvyg,
20/02/2026,04:45:06,Interior,26.7,C,61,Alta,eb849849b3155b7110det4,
20/02/2026,05:00:06,Balcón,21.2,C,70,Media,eb007de949df61414afvyg,
20/02/2026,05:00:06,Interior,26.7,C,61,Alta,eb849849b3155b7110det4,
20/02/2026,05:15:06,Balcón,21.2,C,70,Media,eb007de949df61414afvyg,
20/02/2026,05:15:06,Interior,26.6,C,60,Alta,eb849849b3155b7110det4,
